"autonomous_system_number";"autonomous_system_organization"
266602;"ODATA S.A."
266603;"divinopolisnet provedor de internet ltda"
266604;"COMPANHIA ENERGETICA DE MINAS GERAIS"
266605;"2B Tecnologias em Informatica LTDA"
266606;"VSTNETFIBER TELECOM"
266607;"L. de Fátima da Silva Leite - ME"
266608;"SERVICO E COMERCIO PROVEDORES FDATELECOM LTDA - ME"
266609;"MASSANET TELECOMUNICACOES EIRELI - ME"
266610;"G3 TELECOMUNICACOES GLOBAL LTDA - ME"
266611;"POLISERV SERVICOS E COMERCIO LTDA - ME"
266614;"AMTECK INFORMATICA LTDA"
266615;"DORA BARALDO PROVEDOR DE INTERNET - ME"
266616;"L D TELIS DE OLIVEIRA"
266618;"MEGA PROVEDOR - SERVICOS DE INTERNET LTDA - ME"
266619;"Webviva Telecom"
266620;"(VIPLANET) E D TELECOMUNICES LTDA - ME"
266621;"IGNET LINHAS TELECOMUNICAÇÕES - ME"
266623;"Pedro F Arruda Junior ME"
266624;"CONEXAO VIP TELECOM"
266625;"WCA-TI TECNOLOGIA EM SISTEMAS DE INFORMACAO LTDA"
266626;"Litoral Telecom"
266627;"INTERATIVA TELECOM E TI LTDA ­ME"
266628;"CYBER LITORAL INFORMATICA LTDA - ME"
266629;"RENAN HAAS 00577374010"
266630;"FiOS Tecnologia"
266631;"Enoki & Ruiz Ltda - ME"
266632;"Sul Internet Equipamentos de Informática Ltda ME"
266633;"NOVUMNET ACESSO A INTERNET EIRELI"
266634;"SABINET INTERNET E INFORMATICA LTDA - ME"
266635;"SOFIA NET"
266636;"DC LEITE ME"
266638;"JRF Segurança Eletrônica LTDA ME"
266640;"MARISETE DE FARIAS ME"
266641;"Lavrasnet Servicos de Provedor de Internet Ltda"
266642;"SSM TELECOM E SERVIÇOS LTDA - ME"
266643;"NETFY TELECOMUNICACOES"
266645;"NET WORLD TELECON LTDA - ME"
266646;"MEYER TELECOM"
266647;"I360 Solucoes para Interacao e Com. Corp. Ltda"
266648;"Objetivo Informatica Cachoeirinha Ltda-ME"
266649;"Netcity Tecnologia em Internet Ltda-ME"
266650;"QERO TELECOMUNICACOES DO BRASIL LTDA"
266652;"HARPA NET LTDA ME"
266658;"BIOS SYSTEM SRL"
266664;"ADEATEL S.A"
266668;"MELNICHUK IVAN EMANUEL"
266671;"CONFIARED S.R.L."
266673;"FLYTEC TELECOM SOCIEDAD ANONIMA"
266676;"INTERBYTES"
266679;"ORBINET"
266680;"TAPIA MARCELO DANIEL (SECTOR NET)"
266681;"ZORRILLA SOLEDISPA JUAN JOBINO (JJ COMP)"
266683;"Hoffmannbeck Osvaldo Ariel"
266686;"SISCOMP NETWORK S.A de C.V(Ego-Internet)"
266688;"CG Investment Sociedad Anonima"
266692;"GEEK NETWORKS, S.A"
266694;"FULL TELECOMUNICACIONES S.A"
266703;"ALEJO TV SRL"
266705;"GABRIEL FRANCISCO ERBETTA Y MARIANO ANDRES CARRIZO RICHELET SOCIEDAD DE HECHO (TELNET SOLUC"
266708;"BANCO MARIVA S.A."
266712;"CORPORACION PERUDATA CENTER S.A.C."
266721;"VISIO RED SRL"
266725;"SOLUTION LAN S.A"
266911;"V. P. ACIOLI EIRELI - ME"
266912;"WILLY GUIDONE GUIMARAES 46366900876"
266913;"V J STEFFENON"
266914;"Larynet Telecom"
266915;"H NERIS SOUZA"
266918;"NCB TELECOMUNICAÇÕES EIRELI EPP"
266919;"MDS INTERNET E SERVIÇO DE INFORMÁTICA LTDA. ME"
266921;"Leandro Wiliam Silva - ME"
266922;"WIFIBRA TELECOM EIRELI ­ ME"
266923;"IPconect TELECOM"
266924;"Cleiton Jean da Silva Barbosa ME"
266925;"UPI TELECOM LTDA - ME"
266926;"EJ TELECOM LTDA - ME"
266928;"MEGA COMM TELECOMUNICACOES EIRELI ME"
266931;"RE Servicos de Comunicacao Multimidia"
266932;"UP NET TECNOLOGIA DE REDES LTDA ME"
266933;"ACTEC Tecnologia de Comunicação EIRELI - ME"
266934;"ROBERIO F . DE CARVALHO ME"
266935;"CAROLINE FONSECA FERNANDES ME"
266936;"MT-TELECOM SUL"
266937;"COM TELECOM"
266938;"LT Solucoes"
266940;"RNR Servicos de Internet Ltda"
266943;"INFORWAY INFORMATICA E TELEFONIA LTDA - ME"
266944;"DORIVAL PINTO DE ALMEIDA-ME"
266945;"TELEVOIP TELECOMUNICACOES LTDA ME"
266948;"ALINE APARECIDA DE OLIVEIRA CAMARGO ME"
266950;"Eaglenet Tecnologia Ltda - ME"
266951;"REDE CONECTA TELECOM"
266952;"MARCIO FERNANDO CAVALCANTE MENDONÇA"
266953;"FIBERTEL TELECOM LTDA ME"
266954;"TURBONET WIFI LTDA - ME"
266955;"DIEGO DE SAO MIGUEL FRANCA"
266956;"JAIME VEZARO E CIA LTDA - ME"
266957;"Vanderlan da Silva Machado ME"
266958;"Net Telecom MD Ltda-ME"
266959;"SKYINF SOLUCOES EM TECNOLOGIA DE INFORMACAO LTDA"
266961;"Arias Telecomunicações Ltda - Me"
266962;"G M DA COSTA INTERNET"
266963;"UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO"
266964;"INFOWAYNET TELECOM"
266965;"SAMUEL DE LUCENA MARTINS - EPP"
266966;"INTELINK COMUNICACAO LTDA - ME"
266968;"SUANET TELECOMUNICACOES LTDA - ME"
266970;"NET WAY PROVEDOR DE INTERNET DE CACOAL LTDA"
266972;"SIGANET TELECOM"
266974;"Informatica Sydernet LTDA"
266977;"UNITEC TELECOM SISTEMAS DE TELEFONIA"
266978;"FOUR NETWORK SERVICOS DE INFORMATICA LTDA - ME"
266979;"M. L. DA SILVA PROVEDOR - ME"
266980;"LIMA & ARAUJO TELECOM LTDA"
266981;"Cnet Turbo"
266983;"AFJ INFORMÁTICA LTDA - ME"
266984;"INFOTEK.NET PROVEDOR DE INTERNET LTDA ME"
266985;"CONECTJET LAGOS INTERNET BANDA LARGA LTDA - ME"
266986;"OLV BRASIL COMERCIO E SERVIÇOS EIRELI"
266988;"WELT COMERCIO E SERVIÇOS DE INTERNET LTDA ME"
266989;"WSS TELECOMUNICAÇÃO LTDA"
266990;"SOFTSERV CONECTIVIDADE"
266991;"HT TECNOLOGIA E CONSTRUCOES"
266992;"Oliveira & Fernandes Telecomunicações Ltda"
266993;"RLR INFORMATICA LTDA"
266994;"LINK BUZIOS LTDA"
266995;"Evox Telecom LTDA - ME"
266996;"A COUTINHO JUNIOR ME - LINK NET"
266998;"MAIS WEB PROVIDER EIRELI - EPP"
266999;"BRENO NOGUEIRA DOS REIS EIRELLI ME"
267000;"META-CTi Tecnologia da Informação LTDA."
267002;"RODRIGO DA SILVA LUZ ME"
267003;"A R Piovesan ME"
267005;"WEB LINK DIGITAL EIRELI - ME"
267007;"Turbo Net Telecom Servicos e Vendas de Equipamento"
267011;"Virtual Internet"
267012;"VIAON INTERNET LTDA - ME"
267014;"TOTALL NET LTDA-ME"
267015;"EMPRESA DE SERVICOS ADM. DE ITUBERA LTD"
267016;"FIBERNET SERVICOS DE COMUNICACAO LTDA"
267017;"ERIC ANDRADE DE FREITAS ME"
267018;"ON Serviços Digitais EIRELI - EPP"
267019;"ALANHOUSE INFO LTDA ME"
267020;"VSLINK COMUNICACAO E MULTIMIDIA LTDA - ME"
267021;"Bruno Luiz de Moura - ME"
267022;"TG COMUNICACOES LTDA - ME"
267023;"B DOS S VIEIRA NETO"
267024;"Josué Caminha Turco ME"
267025;"ARTHUR HENRRIQUE SILVA"
267026;"BLTV COMUNICACOES LTDA - ME"
267027;"SILVEIRA E S. C. E I. DE E. ELETRONICOS LTDA -ME"
267028;"UP PROVEDORES DE INTERNET LTDA - ME"
267029;"Next Network Comunicacao Ltda ME"
267031;"LUCINEY MAGALHAES RODRIGUES - ME"
267032;"DIGINETBRASIL TELECOMINICAÇOES LTDA ME"
267033;"serrasul telecom ltda"
267034;"OPEN IT SOLUTIONS EIRELI"
267035;"MS TELECOM LTDA ME"
267036;"INSPYRE INTERNET"
267037;"ACITEL TELECOMUNICAÇOES LTDA"
267038;"M. V. MENEZES TELECOMUNICAÇÕES EIRELI - ME"
267039;"Dnet tecnologia"
267040;"NEY FRANÇA LTDA ME"
267041;"DEG NET TELECOMUNICACOES"
267042;"C.A. DE OLIVEIRA COMUNICACAO - ME"
267043;"Webber & Afif Ltda"
267044;"MARCELO A DOS SANTOS EIRELE -ME"
267045;"EASY CONNECT TECNOLOGIA JACI LTDA"
267046;"Coladini & Coladini ltda"
267047;"A B BISPO SERVICOS"
267048;"PROVEDORES SERVICO EQUIPAMENTO NIVE NET EIRELI"
267049;"Centro Universitário de João Pessoa - UNIPE"
267050;"REDE & INFORMATICA LTDA - ME"
267051;"Nexus Fibra Telecomunicações LTDA"
267052;"ROGERIO DE LIMA ALVES ME"
267053;"F J DE MENDONCA TELECOM - ME"
267054;"LINKWAY INFORMÁTICA"
267055;"N.C Sat Mais Veloz Ltda"
267057;"PAZETTO E SILVA LTDA"
267058;"FALE NET SERVICOS DE COMUNICACAO LTDA - ME"
267059;"NOVA GUARITA CONSTRUTORA E INCORPORADORA LTDA-EPP"
267060;"wellington da silva gomes junior"
267061;"Microtec Telecomunicação Ltda - ME"
267063;"REINALDO DIRCEU DE LIMA ME"
267064;"Valdine Pereira de Amorim"
267065;"MSA TELECOMUNICACAO LTDA - ME"
267069;"CONECTA MAIS LTDA ME"
267070;"Fibranet Juiz de Fora Serviços de Telecomunicações"
267072;"VELOZ NET SERVIÇOS E COMUNICAÇÕES LTDA ME"
267073;"L A P JUNIOR EIRELI - ME"
267075;"MARIA CREUZA HORTA DE SOUZA - ME"
267076;"REDE MINEIRA DE TELECOMUNICAÇÕES LTDA"
267077;"JACKSON DE S. SILVA - ME"
267079;"A.J DA SILVA"
267080;"starnet ltda"
267081;"Netslim Provedor de Internet Eireli - ME"
267083;"CONECTUS TELECOM ME"
267084;"AGILNET SERVICOS DE INFORMATICA E TELECOMUNICACOES"
267086;"PREFEITURA MUNICIPAL DE ESTANCIA"
267087;"RENATO MEIRELES PEREIRA - ME"
267088;"Jailton Pereira de Lima"
267089;"GSM ENGENHARIA EM TECNOLOGIA DA INFORMACAO EIRELI"
267090;"VIRTUALNET PROVEDORES LTDA ME"
267091;"SANTI & ALMEIDA LTDA - ME"
267092;"N. R. LOPES RODRIGUES PEPE - ME"
267094;"WEBNET PROVEDOR DE ACESSO AS REDES DE COM. LTDA ME"
267095;"ARGUSNET COMUNICACAO DE DADOS LTDA ME"
267098;"EMILIANO CAETANO PEREIRA NETO - ME"
267099;"WEB LTDA - ME"
267100;"GEE SOLUÇÕES EM INFORMÁTICA LTDA"
267101;"ACB TECNOLOGIA"
267102;"CONECTA INTERNET"
267103;"TIAGO CAIRES PEREIRA & CIA LTDA - ME"
267104;"A Solução Internet Banda Larga ltda me"
267105;"TECHZONE PROVEDOR"
267106;"NETFIBRA TELECOMUNICACOES LTDA - ME"
267107;"DataSysNet Telecom & Systems"
267108;"MW TELECOM SOLUÇÕES EM TELECOMUNICAÇOES DO AGRESTE"
267109;"NAVEGA COMPUTADORES E COMUNICACOES MULTIMIDIA EIRE"
267110;"MT-TELECOM SUL"
267113;"CLICKCONNECT SOLUCOES EM INTERNET E TECNOLOGIA"
267114;"LINK NET BANDA LARGA EIRELI - ME"
267115;"LUCIANA ALVES RIBEIRO DOS SANTOS ME"
267116;"W J DOS SANTOS INTERNET"
267117;"Vianett Provedor de Internet Eireli - ME"
267118;"Legal Telecom Ltda - Me"
267119;"JULIANA DA COSTA DOS SANTOS - EPP"
267120;"Brnet Telecomunicacoes LTDA - ME"
267121;"ATPlus Telecom"
267122;"Infoturbo Telecom LTDA"
267123;"Coelho & Neto LTDA ME"
267125;"NETUP TELECOM"
267126;"Morail Varela Santiago - ME"
267129;"NET+ TELECOM"
267132;"CONECTA ELETRICIDADE E SERVICOS LTDA"
267133;"ALAN ROBERTO STEILEIN ME"
267138;"IP SOLUCOES TECNOLOGICAS LTDA - ME"
267139;"R. DA SILVA PAULA - ME"
267140;"Z.GARCIA SGARBOSSA"
267142;"R. ALECIO SACHETTI & CIA LTDA - EPP"
267145;"Netsim Provedor de Sistema de Integracao A Midia L"
267148;"JETVIA COMUNICAÇÕES DIGITAIS LTDA"
267149;"Rei das Tecnologias LTDA ME"
267150;"GILBERTO MACEDO DE SOUZA ME"
267152;"jose charles rocha braga-me"
267153;"Eduardo de Castro Neves Transporte ME"
267156;"CHARLLEY PEREIRA DA SILVA"
267157;"M W F MOURA MULTIMIDIA - ME"
267159;"LTNET Telecomunicacoes EIRELE ME"
267161;"CICERO MOREIRA"
267162;"JAILSON FERREIRA DE ARAUJO - ME"
267163;"ANDRESSA PIMENTEL COSTA - ME"
267174;"Power Net Telecomunicação EIRELI-ME"
267177;"Mayckon Felipe Rosini"
267178;"B4M Serviços de Comunicação Multimída Ltda"
267180;"edmundo antonio borba da silveira-me"
267189;"ADRIANO SEABRA LEAL-ME"
267190;"FLEXNET TELECOMUNICACOES EIRELI EPP"
267192;"TELCOM PROVEDOR DE ACESSO LTDA - EPP"
267198;"G_NET Serviços de Telecomunicações Ltda - ME"
267199;"REDEMETRO TELECOMUNICACOES LTDA"
267208;"VALMIR DE AVILA - ME"
267423;"C.da Costa Silva Me"
267424;"G.C.TELECOMUNICAÇÕES LTDA-ME"
267425;"TSCM NET BRASIL TELECOMUNICAÇÕES LTDA"
267426;"AQUI TELECOMUNICACOES LTDA - ME"
267427;"NETBITS TELECOM"
267428;"LEX TELECOM LTDA ME"
267429;"GRAFNET TELECOM"
267430;"CBR TELECOMUNICAÇÕES LTDA"
267431;"Zl.com Telecom LTDA - ME"
267432;"D N SANTOS"
267433;"Knet Internet"
267434;"Xingu Assessoria em Redes Ltda ME"
267435;"INK SOFT SUPRIMENTOS DE INFORMATICA LTDA"
267436;"L C M SILVA - ME"
267437;"Ultracom Telecomunicações Ltda"
267438;"PAULO RICARDO LINS MATEUS ME"
267439;"ATUAMAX CONECTIVIDADE"
267440;"Infoco Telecom"
267441;"J BARBOSA SERVICOS DE COMUNICACAO MILTIM"
267442;"CRISTIANO HOLDEFER & CIA LTDA - ME"
267443;"SPECTRUMNET TECNOLOGIA INTEGRADA LTDA - ME"
267444;"CENTRO.COM - INTERNET, COMPUTADORES E SERVIÇOS"
267445;"Romagnole Produtos Eletricos S.A."
267446;"Newertech Sol. Tec. e Prod. de Informática LTDA ME"
267447;"LK TELECOM INFORMATICA LTDA ME - ME"
267448;"c c zunino central net-me"
267449;"Schmidt & Zuchetto Ltda"
267450;"fernandes & rufino Ltda"
267452;"R W TELECOMUNICACOES EIRELI - EPP"
267453;"Neticabo Telecom Ltda - ME"
267454;"FSA Tecnologia em Comunicação LTDA - ME"
267455;"FIBRACOM TELECOMUNICACOES E SERVICOS EIRELI - ME"
267456;"DN COMERCIO DE EQUIPAMENTOS DE INFORMATICA EIRELI"
267457;"TASSIO ALMIR BENITES CORREIA DE LIMA - ME"
267458;"ITMINDS CONSULTORIA EM TECNOLOGIA DA INFORMACAO"
267459;"RAGNER JOSE DE LIMA SILVA EIRELI - ME"
267460;"ATILA BARBOSA DOS SANTOS EIRELE ME"
267462;"Espaço Link Telecomunicações LTDA - ME"
267463;"ALL CONECTA INTERNET LTDA - ME"
267464;"SMARTLINK TECNOLOGIA EM INTERNET LTDA ME"
267466;"MVF NETWORK"
267467;"LL AUTOMAÇÃO E TELECOMUNICAÇÕES LTDA - ME"
267468;"N DOS SANTOS & SANTOS LTDA - ME - ME"
267469;"W8 Telecom Ltda - ME"
267470;"caxias online projetos m. e manuntençao ltda. me"
267471;"Cristiano da Silva Rocha Informatica ME"
267472;"Minascomp Internet LTDA ME"
267473;"TIAGO DE LIMA RODRIGUES 05234893405"
267474;"SOCITEL TELECOMUNICACOES LTDA - EPP"
267475;"LIG TELECOM"
267476;"TT Peixoto Provedor de Internet LTDA ME"
267477;"ATENDNET COM. E SERV. DE EQUIP. INFORMÁTICA LTDA"
267478;"GARDEN SAT PROVEDOR DE INTERNET LTDA ME"
267479;"Torre das Antenas Comercio e Serviços Tecnico LTDA"
267480;"R. ANDREWS DE ARAUJO - ME"
267481;"TUDONLINE SERVICOS E COMERCIO LTDA ME"
267482;"Agemed Saúde S/A"
267483;"MSE COMUNICACAO MULTIMIDIA LTDA ME"
267486;"MARIA DE FATIMA SILVA MARCELINO LIMA ME"
267488;"andre luiz silva dos santos informatica"
267490;"C e B do Amaral Comunicacao - ME"
267493;"G2 NETWORKS LTDA - ME"
267494;"DNL NETWORK TELECOMUNICAÇÕES LTDA"
267495;"Brasil Central Telecomunicação"
267497;"GL TELECOM LTDA - ME"
267498;"VIDATEL SERVICOS CONVERGENTES EM TELECOMUNICACOES"
267499;"WAGNER BARBOSA DA COSTA - ME"
267500;"RONALDO RICARDO DOS SANTOS ME"
267501;"Equatorial Telecomunicações LTDA"
267503;"RCM TELECOM E INFORMATICA LTDA - ME"
267504;"RAFAEL ROCKENBACH MASCARENHAS - ME"
267505;"EMBRATEC COMUNICACOES LTDA ME"
267506;"MARIA DO CARMO DOS SANTOS CARUARU ME"
267507;"LOOPHOST INTERNET DATACENTER"
267508;"SEMPRENET INTERNET LTDA ME"
267510;"l h g da silva comunicação multimidia-me"
267511;"JK NET SERVICOS MULTIMIDIA EIRELI - EPP"
267512;"ENTERPRISE TELECOMUNICAÇÕES"
267513;"Seanet Telecom Carazinho Eireli"
267514;"Otima Telecomunicações Ltda ME"
267515;"Sercom Ltda"
267516;"Company Telecom Ltda"
267517;"M. DE BRITO COMUNICAÇÕES"
267518;"TECHNIK INFORMATICA LTDA - ME"
267519;"CONEXAO INFORMATICA SILVA LTDA"
267520;"I TAVARES DA SILVA COMUNICACAO - ME"
267521;"GONCALVES E MENDES INFORMATICA E TELECOMUNICACOES"
267522;"GLOBAL BANDA LARGA SERVICOS DE TELECOMUNICACOES LT"
267523;"Arantes & Arantes Telecom LTDA - ME"
267524;"IXNET TELECOM - INTERNET BANDA LARGA LTDA"
267526;"ANDREIA LUCIA CADINI DA CUNHA ME"
267528;"ENTER INFO INFORMATICA E SERVIÇOS LTDA"
267529;"KNS DE PINHO TELECOMUNICACOES"
267530;"TJ Telecom LTDA ME"
267531;"MBN-INFORMATICA LTDA ME"
267532;"CONEXAO BR MAIS SERVICOS DE COMUNICACAO LTDA"
267533;"Optcom LTDA ME"
267534;"TRIBUNAL REGIONAL DO TRABALHO - 23 REGIAO"
267535;"PROLINK TELECOM LTDA - ME"
267536;"AFCH Solucoes e Empreendimentos Ltda. - ME"
267537;"NETFLESH TELECOM E COM DE PROD DE INFORMAT LTDA-ME"
267538;"Internet 5.8 Sapezal LTDA-ME"
267539;"JBM Doro Telecomunicação Me"
267540;"ITACELL TELECOM LTDA"
267541;"BRASILNET INTERNET BANDA LARGA LTDA-ME"
267542;"ED-LINK TELECOM"
267543;"Douglas Antonio Martins ME"
267544;"SIGNET TELECOM"
267545;"L dos S Vieira Gomes Telecomunicações Me"
267546;"GOIAS CONECT TELECOM EIRELI - ME"
267548;"W P DE LIMA - ME"
267549;"WEIDER ALEXANDRE RIBEIRO & CIA LTDA - ME"
267550;"Chip News Provedor de Internet Eireli"
267551;"DATACOM BANDA LARGA"
267552;"Turbo Net Telecom LtdaME"
267553;"Pontual Net Telecomunicações LTDA - ME"
267554;"PROVIDER SOLUTION INTERNET & TELECOM LTDA - ME"
267555;"CONECT FIBER TELECOMUNICACOES LTDA - ME"
267556;"Explorer Telecom Barretos Informatica Ltda ME"
267557;"OLITECH INFORMÁTICA E COMUNICAÇÃO LTDA"
267558;"FIORILLI SOLUCOES TECNOLOGICAS LTDA - ME"
267559;"SERGIO PEREIRA DE SOUZA - ME"
267560;"PC CONNECT TELECOMUNICACOES LTDA"
267561;"WEBNET PROVEDOR E INFORMATICA LTDA"
267562;"PRISMAREDE TELECOMUNICAÇÕES LTDA - ME"
267563;"EI TELECOM EIRELI - EPP"
267564;"FIBER TELECOM - TELECOMUNICAÇÃO DE DADOS"
267565;"Hequias Bicalho Felix - EPP"
267566;"EMERSON FREITAS MOTA"
267567;"Radiun Serviços de Provedor de Internet LTDA"
267568;"R. C. F. ­ TELECOM LTDA ­ ME"
267569;"CAROLINA ON LINE COMUNICACAO MULTIMIDIA LTDA - ME"
267570;"Rafael Zamboni Freisleben"
267571;"SUMITA TELECOMUNICACOES LTDA"
267572;"SUPER NET COMUNICACAO LTDA - ME"
267573;"LIVE TELECOM"
267574;"CARLOS ALBERTO LOPES - PROVEDOR - ME"
267575;"Maranet Telecom"
267576;"Conet Telecom"
267577;"AAJM INFORMATICA E COMUNICACAO LTDA - ME"
267578;"WILLIAN MENDES DE OLIVEIRA ­ ME"
267579;"HEXAM2 EIRELI"
267580;"installnet serviços ltda"
267582;"Simple Services Tecnologia Ltda - ME"
267583;"MegaLink Telecom e Segurança Eletronica"
267584;"J.A.B. Net Provedor de Serviços de Internet Eireli"
267585;"EXPAND TECNOLOGIA E INFORMÁTICA LTDA"
267586;"Rafael Pierre Barbosa - Me"
267587;"CLICK SPEED SERVICOS DE TELECOMUNICACOES LTDA - EP"
267588;"REDE G3"
267589;"SH INFORMÁTICA"
267590;"FIBRATECH INTERNET DE ALTA VELOCIDADE LTDA ME"
267591;"Supra Telecomunicacoes LTDA"
267592;"Colégio do Registro de Imóveis do Paraná"
267593;"B.B.S COMUNICAÇÕES LTDA ME"
267594;"Esiquiel Felipe dos Santos Junior - ME"
267595;"MILANIN NET"
267596;"Padilha e Padilha Ltda"
267597;"VIRTUALNET SERVICOS DE INFORMATICA LTDA - ME"
267598;"MC-CONNECT COMERCIO E SERVIÇOS DE INFORMATICA LTDA"
267599;"Braittner Portugal Marcolino-ME"
267600;"ERLANE DE OLIVEIRA SANTOS (NOVANET)"
267602;"Clistenis José de Souza ME"
267603;"rp.netmania telecom eirele - me"
267604;"REACH TELECOM"
267605;"GMARX TELECOM EIRELI - ME"
267606;"D & N Telecomunicações LTDA"
267607;"Giatech Telecomunicações LTDA - ME"
267608;"Micheleto e Guidi Informática Ltda Me"
267609;"WG TELECOM LTDA - ME"
267610;"SERVICOS DE PROVEDORES DE ACESSO AS REDES DE TELEC"
267611;"TECHNO BYTES TELECOM"
267612;"UNIAO DIGITAL TELECOMUNICAÇÕES"
267613;"ELETRONET S.A."
267614;"INFORBOOK COMERCIO E TELECOMUNICACOES LTDA - ME"
267615;"Conecta Itapê"
267616;"DVNET SOLUÇÕES E INFORMATICA LTDA"
267617;"ARREBENTA TELECOM LTDA"
267621;"IFIBER TELECOM"
267622;"UNILINK PROVEDOR LTDA"
267623;"House Tecnologia da Informação EIRELI-EPP"
267625;"LD PRODUTOS DE INFORMATICA EIRELI - ME"
267626;"Tribunal de Justiça de Goiás"
267628;"CLOVIS DA SILVA ALBUQUERQUE INTERNET - ME"
267629;"SGV TI E TELECOM LTDA"
267630;"UNIVERSIDADE ESTADUAL DO MARANHÃO"
267631;"Elizandro Rodrigues de Jesus Dantas ME"
267632;"LOGAR INTERNET EIRELE EPP"
267633;"DATA NET INFORMÁTICA E TECNOLOGIA - EIRELI - ME"
267634;"CRISTIANO ROBERTO DA SILVA BARBOSA - ME"
267635;"RENATO C. LAZZARI E CIA LTDA"
267636;"VIACONNECT PROVEDOR DE INTERNET BANDA LARGA LTDAME"
267637;"Tecnoserver Infosoluções Com. S. Produtos de Info."
267638;"Wind Telecomunicação do Brasil Ltda - ME"
267639;"CM TELECOM"
267640;"DIEGO JOSE MAUSSON - ME"
267641;"Jethulio Rodrigues Arcovede ME"
267643;"SANS TELECOMUNICAÇÕES LTDA - ME"
267644;"Arena Digital"
267645;"N Gonçalves de Souza ME"
267646;"plus multiplayer tv ltda."
267647;"RODOLFO TREVIZAM FERMINO DE OLIVEIRA - EPP"
267648;"SPEEDNETMAIS TELECOMUNICAÇÕES LTDA - ME"
267649;"FEGUI-DS NET TELECOMUNICACOES LTDA - ME"
267650;"JCL TELECOMUNICACOES EIRELI - EPP"
267651;"OpenNET Telecom e Informatica EIRELI - ME"
267652;"MOBILE INFORMATICA LTDA ME"
267653;"IS TELECOM LTDA ME"
267655;"Travelhost Datacenters e Serviços de Internet LTDA"
267656;"Martins e Barros LTDA"
267658;"Dalvenisa Elisa de Sousa ME"
267659;"CONEXXUS SERVIÇO DE INFORMATICA"
267660;"KABOOM NET"
267661;"A.P.DA SILVA MENDONCA ME"
267662;"PORTO NET EIRELI - EPP"
267664;"Rennison Pinheiro Batalha ME"
267665;"Acessy Telecomunicações"
267666;"LOG LINK INFORMATICA LTDA - ME"
267667;"Heall Telecom Tecnologia em Internet Eireli - Me"
267668;"Gigaweb Tecnologia"
267669;"JKS INTERNET BANDA LARGA"
267670;"NetLink Telecom"
267671;"INTERCOMM SERVICOS DE INTERNET LTDA - ME"
267672;"CONEX INTERNET"
267673;"C D M DA SILVA SERVIÇOS DE INTERNET ME"
267674;"ELINALDO JOSE DA SILVA SERVIÇOS DE TELECOM ME"
267675;"AKI NET TELECOM LTDA ME"
267676;"A.M.W Tecnologia ME"
327074;""
327687;"RENU"
327691;"BPA"
327692;"SMILECOMMS"
327693;"ECHO-SP"
327694;"NAMPOWER"
327695;"AITI"
327697;"TELCO-OI-AS"
327698;"BInfraco"
327700;"MoRENet"
327701;"SABINET"
327706;"Power-and-Network-Backup"
327707;"AIRTEL-"
327712;"ATM"
327714;"ComNet-"
327715;"XPRESSNET-AS"
327716;"Microteck-AS"
327717;"SureTelecom-UG-AS"
327719;"sixp"
327720;"LACELL-SU"
327721;"Interswitch"
327723;"First-Wave-Networks"
327724;"NITA"
327725;"UnitelSTP"
327727;"C-SQUARED"
327728;"CTV"
327729;"Babcock University"
327730;"PPF"
327732;"DALKOM-SOMALIA"
327733;"SAICOM"
327734;"ECONET"
327737;"Custom Solutions Business Trust"
327738;"AFRICELL-DRC"
327740;"TESPOK-AMS-IX"
327741;"INFOGENIE-AS"
327742;"SOMALI-WIRELESS"
327744;"AFRIMAX-UGANDA"
327745;"Wifibre South Africa"
327746;"NSIA"
327747;"SAHAL-TELECOM"
327748;"COOP-BANK-KENYA"
327749;"Digital Outsource Services"
327750;"JENNY-INTERNET"
327751;"LanDynamix"
327753;"CHASE-BANK-KENYA"
327754;"RMS-Powertronics"
327756;"Airtel Tchad"
327757;"ICT DYNAMIX (Pty) Limited"
327759;"SGS-MCNET"
327760;"ELECTRO-METIC"
327761;"Access Point Technologies cc"
327762;"SPTC"
327763;"Bowen-University"
327765;"SwaziMTN-Ltd"
327766;"TECHPITCH-LTDKENYA"
327767;"ULTIMATE-LINUX"
327768;"SOMCAST-NETWORKS"
327769;"MTN-Bissau"
327770;"Telecel"
327771;"MILAN-CABLE"
327772;"FULLOUTPUT-1086cc"
327773;"WEBB-FONTAINE"
327774;"TANZANIA-POSTAL-BANK"
327775;"AO-IXPmgmnt"
327776;"Stature-PTY-LTD"
327777;"LIQUIDCLOUD"
327781;"VANGIBUZZ"
327782;"METROFIBRE-NETWORX"
327783;"SMILE-COMMUNICATION"
327784;"Fidelity Bank Plc"
327786;"TELECOM-4G"
327787;"AMPATH"
327790;"Wirels-Connect"
327791;"Centracom"
327792;"CSS-net"
327793;"WORLD-VISION"
327794;"CLEAR-ACCESS"
327795;"Tanzania-e-Government-Agency"
327796;"GABON-IX"
327797;"COWS"
327798;"SETIC-BERNET"
327799;"VIETTEL-BURUNDI"
327801;"Banco-Sol"
327802;"MILLICOM-CHAD"
327803;"COSCHARIS-TECHNOLOGIES"
327804;"TRUSC"
327805;"Bundu-NetworX"
327806;"CNTI-AS"
327808;"Tesuco-Telecommunications"
327809;"ARC-Informatique"
327811;"COMAIR"
327812;"Metacom"
327813;"Web4Africa"
327814;"Ecoband"
327817;"LADYSMITH-WIRELESS-SOLUTIONS"
